

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
01/30/2026,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,0.04,0.04,
01/16/2026,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-1424.78,0.00,
01/15/2026,"YOU SOLD QUANTUM COMPUTING INC COM (QUBT) (Cash)",QUBT,"QUANTUM COMPUTING INC COM",Cash,12.78,-31,,,,396.18,1424.78,01/16/2026
01/15/2026,"YOU SOLD IONQ INC COM (IONQ) (Cash)",IONQ,"IONQ INC COM",Cash,48.98,-21,,,,1028.6,1028.60,01/16/2026
01/07/2026,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-647.71,0.00,
01/05/2026,"YOU SOLD ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,316.6,-2,,,,633.2,647.71,01/06/2026
12/31/2025,"REINVESTMENT CASH (315994103) (Cash)",315994103,"CASH",Cash,1,0.02,,,,-0.02,14.51,
12/31/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,0.02,14.51,
12/15/2025,"DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,,0.000,,,,4.41,14.49,
12/10/2025,"DIVIDEND RECEIVED INTERNATIONAL BUS MACH CORP COM USD0.20 (IBM) (Cash)",IBM,"INTERNATIONAL BUS MACH CORP COM USD0.20",Cash,,0.000,,,,10.08,10.08,
12/08/2025,"WIRE TRANSFER TO BANK (Cash)",,"No Description",Cash,,0.000,,,,-796.95,0.00,
12/08/2025,"OTHER CREDIT transfer from Fidelity Crypto a/c (Cash)",,"No Description",Cash,,0.000,,,,789.98,796.95,
12/02/2025,"YOU BOUGHT QUANTUM COMPUTING INC COM (QUBT) (Cash)",QUBT,"QUANTUM COMPUTING INC COM",Cash,10.99,165,,,,-1812.53,6.97,12/03/2025
12/02/2025,"YOU SOLD INTERNATIONAL BUS MACH CORP COM USD0.20 (IBM) (Cash)",IBM,"INTERNATIONAL BUS MACH CORP COM USD0.20",Cash,303.25,-6,,,,1819.5,1819.50,12/03/2025
11/03/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-1718.3,0.00,
10/31/2025,"REINVESTMENT CASH (315994103) (Cash)",315994103,"CASH",Cash,1,0.03,,,,-0.03,1718.30,
10/31/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,0.03,1718.30,
10/31/2025,"YOU SOLD ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,283.75,-6,,,,1702.5,1718.27,11/03/2025
09/30/2025,"REINVESTMENT CASH (315994103) (Cash)",315994103,"CASH",Cash,1,0.02,,,,-0.02,15.77,
09/30/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,0.02,15.77,
09/15/2025,"DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,,0.000,,,,5.67,15.75,
09/10/2025,"DIVIDEND RECEIVED INTERNATIONAL BUS MACH CORP COM USD0.20 (IBM) (Cash)",IBM,"INTERNATIONAL BUS MACH CORP COM USD0.20",Cash,,0.000,,,,10.08,10.08,
08/26/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-1950.12,0.00,
08/25/2025,"YOU SOLD SNOWFLAKE INC. COMMON STOCK (SNOW) (Cash)",SNOW,"SNOWFLAKE INC. COMMON STOCK",Cash,195,-10,,,,1950,1950.12,08/26/2025
07/31/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,0.12,0.12,
07/09/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-1000,0.00,
07/03/2025,"YOU SOLD QUANTUM COMPUTING INC COM (QUBT) (Cash)",QUBT,"QUANTUM COMPUTING INC COM",Cash,21.06,-0.505,,,,10.63,1000.00,07/07/2025
07/03/2025,"YOU SOLD QUANTUM COMPUTING INC COM (QUBT) (Cash)",QUBT,"QUANTUM COMPUTING INC COM",Cash,21.05,-47,,,,989.35,989.37,07/07/2025
06/30/2025,"REINVESTMENT CASH (315994103) (Cash)",315994103,"CASH",Cash,1,0.02,,,,-0.02,0.02,
06/30/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,0.02,0.02,
06/30/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-300,0.00,
06/30/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-866.12,300.00,
06/30/2025,"OTHER CREDIT transfer from Fidelity Crypto a/c (Cash)",,"No Description",Cash,,0.000,,,,300,1166.12,
06/30/2025,"OTHER CREDIT transfer from Fidelity Crypto a/c (Cash)",,"No Description",Cash,,0.000,,,,850,866.12,
06/16/2025,"DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,,0.000,,,,5.67,16.12,
06/10/2025,"DIVIDEND RECEIVED INTERNATIONAL BUS MACH CORP COM USD0.20 (IBM) (Cash)",IBM,"INTERNATIONAL BUS MACH CORP COM USD0.20",Cash,,0.000,,,,10.08,10.45,
05/30/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,0.37,0.37,
05/15/2025,"YOU BOUGHT QUANTUM COMPUTING INC COM (QUBT) (Cash)",QUBT,"QUANTUM COMPUTING INC COM",Cash,9.1,108,,,,-982.8,0.00,05/16/2025
05/15/2025,"YOU BOUGHT QUANTUM COMPUTING INC COM (QUBT) (Cash)",QUBT,"QUANTUM COMPUTING INC COM",Cash,9.1,0.135,,,,-1.23,982.80,05/16/2025
05/15/2025,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,775,984.03,
04/30/2025,"REINVESTMENT CASH (315994103) (Cash)",315994103,"CASH",Cash,1,0.89,,,,-0.89,209.03,
04/30/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,0.89,209.03,
04/25/2025,"OTHER DEBIT transfer to Fidelity Crypto a/c (Cash)",,"No Description",Cash,,0.000,,,,-1000,208.14,
04/24/2025,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,1000,1208.14,
04/07/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-800,208.14,
03/31/2025,"REINVESTMENT CASH (315994103) (Cash)",315994103,"CASH",Cash,1,1.97,,,,-1.97,1008.14,
03/31/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,1.97,1008.14,
03/17/2025,"DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,,0.000,,,,5.4,1006.17,
03/10/2025,"DIVIDEND RECEIVED INTERNATIONAL BUS MACH CORP COM USD0.20 (IBM) (Cash)",IBM,"INTERNATIONAL BUS MACH CORP COM USD0.20",Cash,,0.000,,,,10.02,1000.77,
03/03/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-600,990.75,
02/28/2025,"REINVESTMENT CASH (315994103) (Cash)",315994103,"CASH",Cash,1,2.67,,,,-2.67,1590.75,
02/28/2025,"INTEREST EARNED CASH (315994103) (Cash)",315994103,"CASH",Cash,,0.000,,,,2.67,1590.75,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 02/14/2026 1:56 pm
